,id,titel,output,areaLevel1,areaLevel2,areaLevel3
44,"Highest_Algemene wet bestuursrecht, Artikel 8:115","Algemene wet bestuursrecht, Artikel 8:115","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:115</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
45,"Highest_Algemene wet bestuursrecht, Artikel 8:119","Algemene wet bestuursrecht, Artikel 8:119","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:119</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
46,"Highest_Algemene wet bestuursrecht, Artikel 8:15","Algemene wet bestuursrecht, Artikel 8:15","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:15</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
47,"Highest_Algemene wet bestuursrecht, Artikel 8:18","Algemene wet bestuursrecht, Artikel 8:18","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:18</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
48,"Highest_Algemene wet bestuursrecht, Artikel 8:26","Algemene wet bestuursrecht, Artikel 8:26","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:26</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
49,"Highest_Algemene wet bestuursrecht, Artikel 8:29","Algemene wet bestuursrecht, Artikel 8:29","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:29</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
50,"Highest_Algemene wet bestuursrecht, Artikel 8:41","Algemene wet bestuursrecht, Artikel 8:41","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:41</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
51,"Highest_Algemene wet bestuursrecht, Artikel 8:42","Algemene wet bestuursrecht, Artikel 8:42","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:42</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
52,"Highest_Algemene wet bestuursrecht, Artikel 8:45","Algemene wet bestuursrecht, Artikel 8:45","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:45</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
53,"Highest_Algemene wet bestuursrecht, Artikel 8:51a","Algemene wet bestuursrecht, Artikel 8:51a","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:51a</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
54,"Highest_Algemene wet bestuursrecht, Artikel 8:57","Algemene wet bestuursrecht, Artikel 8:57","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:57</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
55,"Highest_Algemene wet bestuursrecht, Artikel 8:58","Algemene wet bestuursrecht, Artikel 8:58","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:58</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
56,"Highest_Algemene wet bestuursrecht, Artikel 8:64","Algemene wet bestuursrecht, Artikel 8:64","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:64</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
57,"Highest_Algemene wet bestuursrecht, Artikel 8:67","Algemene wet bestuursrecht, Artikel 8:67","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:67</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
58,"Highest_Algemene wet bestuursrecht, Artikel 8:69","Algemene wet bestuursrecht, Artikel 8:69","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:69</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
59,"Highest_Algemene wet bestuursrecht, Artikel 8:69a","Algemene wet bestuursrecht, Artikel 8:69a","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:69a</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
60,"Highest_Algemene wet bestuursrecht, Artikel 8:72a","Algemene wet bestuursrecht, Artikel 8:72a","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:72a</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
61,"Highest_Algemene wet bestuursrecht, Artikel 8:83","Algemene wet bestuursrecht, Artikel 8:83","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:83</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
62,"Highest_Algemene wet bestuursrecht, Artikel 8:86","Algemene wet bestuursrecht, Artikel 8:86","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:86</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
63,"Highest_Algemene wet bestuursrecht, Artikel 8:87","Algemene wet bestuursrecht, Artikel 8:87","Uw vraagt lijkt te gaan om <b>Algemene wet bestuursrecht, Artikel 8:87</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Staats- en bestuursrecht,
64,Highest_Algemene wet inkomensafhankelijke regelingen,Algemene wet inkomensafhankelijke regelingen,Uw vraagt lijkt te gaan om <b>Algemene wet inkomensafhankelijke regelingen</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.,Bestuursrecht,Arbeidsrecht en Socialezekerheidsrecht,Socialezekerheidsrecht
